Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
aquarelle	Easy	32.65	24.61	75.39	143	438	36.21	26.58	73.42	63	174	30.3	23.26	76.74	80	264
aquarelle	Null	30.0	23.08	76.92	6	20	23.08	18.75	81.25	3	13	42.86	30.0	70.0	3	7
aquarelle	Single dark	13.93	12.23	87.77	28	201	16.67	14.29	85.71	19	114	10.34	9.38	90.62	9	87
aquarelle	Double dark	0.0	0.0	100.0	0	17	0.0	0.0	100.0	0	8	0.0	0.0	100.0	0	9
asaelr	Totals	27.31	21.45	78.55	1245	4559	28.67	22.28	77.72	283	987	26.93	21.22	78.78	962	3572
asaelr	Easy	35.77	26.35	73.65	994	2779	35.46	26.18	73.82	222	626	35.86	26.39	73.61	772	2153
asaelr	Null	26.72	21.09	78.91	31	116	25.0	20.0	80.0	5	20	27.08	21.31	78.69	26	96
asaelr	Single dark	13.77	12.1	87.9	218	1583	17.3	14.75	85.25	55	318	12.89	11.41	88.59	163	1265
asaelr	Double dark	2.47	2.41	97.59	2	81	4.35	4.17	95.83	1	23	1.72	1.69	98.31	1	58
Asddsa76	Totals	22.98	18.69	81.31	205	892	10.0	9.09	90.91	2	20	23.28	18.88	81.12	203	872
Asddsa76	Easy	30.36	23.29	76.71	187	616	15.38	13.33	86.67	2	13	30.68	23.48	76.52	185	603
Asddsa76	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asddsa76	Single dark	7.73	7.17	92.83	18	233	0.0	0.0	100.0	0	7	7.96	7.38	92.62	18	226
Asddsa76	Double dark	0.0	0.0	100.0	0	43	0	0	0	0	0	0.0	0.0	100.0	0	43
avanderwalde	Totals	28.1	21.93	78.07	415	1477	35.43	26.16	73.84	62	175	27.11	21.33	78.67	353	1302
avanderwalde	Easy	41.06	29.11	70.89	294	716	34.18	25.47	74.53	27	79	41.92	29.54	70.46	267	637
avanderwalde	Null	54.64	35.33	64.67	53	97	71.43	41.67	58.33	25	35	45.16	31.11	68.89	28	62
avanderwalde	Single dark	10.45	9.46	90.54	68	651	16.39	14.08	85.92	10	61	9.83	8.95	91.05	58	590
avanderwalde	Double dark	0.0	0.0	100.0	0	13	0	0	0	0	0	0.0	0.0	100.0	0	13
BlueNovember	Totals	22.69	18.5	81.5	310	1366	21.25	17.53	82.47	170	800	24.73	19.83	80.17	140	566
BlueNovember	Easy	26.38	20.87	79.13	287	1088	23.65	19.12	80.88	153	647	30.39	23.3	76.7	134	441
BlueNovember	Null	19.61	16.39	83.61	10	51	19.51	16.33	83.67	8	41	20.0	16.67	83.33	2	10
BlueNovember	Single dark	5.83	5.51	94.49	13	223	8.26	7.63	92.37	9	109	3.51	3.39	96.61	4	114
BlueNovember	Double dark	0.0	0.0	100.0	0	4	0.0	0.0	100.0	0	3	0.0	0.0	100.0	0	1
bjnh	Totals	24.07	19.4	80.6	233	968	17.39	14.81	85.19	12	69	24.58	19.73	80.27	221	899
bjnh	Easy	31.65	24.04	75.96	188	594	19.15	16.07	83.93	9	47	32.72	24.66	75.34	179	547
bjnh	Null	12.5	11.11	88.89	1	8	0	0	0	0	0	12.5	11.11	88.89	1	8
bjnh	Single dark	12.09	10.78	89.22	44	364	13.64	12.0	88.0	3	22	11.99	10.7	89.3	41	342
bjnh	Double dark	0.0	0.0	100.0	0	2	0	0	0	0	0	0.0	0.0	100.0	0	2
boba	Totals	24.51	19.68	80.32	312	1273	28.71	22.31	77.69	209	728	18.9	15.9	84.1	103	545
boba	Easy	35.03	25.94	74.06	262	748	44.74	30.91	69.09	170	380	25.0	20.0	80.0	92	368
boba	Null	12.73	11.29	88.71	7	55	11.36	10.2	89.8	5	44	18.18	15.38	84.62	2	11
boba	Single dark	9.73	8.87	91.13	43	442	11.89	10.62	89.38	34	286	5.77	5.45	94.55	9	156
boba	Double dark	0.0	0.0	100.0	0	28	0.0	0.0	100.0	0	18	0.0	0.0	100.0	0	10
Bonja97	Totals	20.75	17.19	82.81	276	1330	28.0	21.88	78.12	7	25	20.61	17.09	82.91	269	1305
Bonja97	Easy	28.72	22.31	77.69	241	839	28.0	21.88	78.12	7	25	28.75	22.33	77.67	234	814
Bonja97	Null	20.0	16.67	83.33	5	25	0	0	0	0	0	20.0	16.67	83.33	5	25
Bonja97	Single dark	6.51	6.11	93.89	30	461	0	0	0	0	0	6.51	6.11	93.89	30	461
Bonja97	Double dark	0.0	0.0	100.0	0	5	0	0	0	0	0	0.0	0.0	100.0	0	5
Bot-Fiora	Totals	21.43	17.65	82.35	90	420	50.0	33.33	66.67	1	2	21.29	17.55	82.45	89	418
Bot-Fiora	Easy	31.3	23.84	76.16	77	246	100.0	50.0	50.0	1	1	31.02	23.68	76.32	76	245
Bot-Fiora	Null	2.94	2.86	97.14	1	34	0.0	0.0	100.0	0	1	3.03	2.94	97.06	1	33
Bot-Fiora	Single dark	9.16	8.39	91.61	12	131	0	0	0	0	0	9.16	8.39	91.61	12	131
Bot-Fiora	Double dark	0.0	0.0	100.0	0	9	0	0	0	0	0	0.0	0.0	100.0	0	9
CaitlinSmith	Totals	13.59	11.97	88.03	126	927	14.71	12.82	87.18	45	306	13.04	11.54	88.46	81	621
CaitlinSmith	Easy	16.9	14.46	85.54	120	710	14.77	12.87	87.13	44	298	18.45	15.57	84.43	76	412
CaitlinSmith	Null	0.0	0.0	100.0	0	2	0	0	0	0	0	0.0	0.0	100.0	0	2
CaitlinSmith	Single dark	2.79	2.71	97.29	6	215	12.5	11.11	88.89	1	8	2.42	2.36	97.64	5	207
CaitlinSmith	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catula	Totals	18.66	15.72	84.28	192	1029	24.03	19.37	80.63	37	154	17.71	15.05	84.95	155	875
catula	Easy	24.07	19.4	80.6	169	702	31.68	24.06	75.94	32	101	22.8	18.56	81.44	137	601
catula	Null	33.33	25.0	75.0	1	3	0.0	0.0	100.0	0	2	100.0	50.0	50.0	1	1
catula	Single dark	6.88	6.43	93.57	22	320	9.8	8.93	91.07	5	51	6.32	5.94	94.06	17	269
catula	Double dark	0.0	0.0	100.0	0	4	0	0	0	0	0	0.0	0.0	100.0	0	4
ChristopheAF	Totals	19.53	16.34	83.66	322	1649	25.93	20.59	79.41	14	54	19.31	16.18	83.82	308	1595
ChristopheAF	Easy	24.09	19.41	80.59	270	1121	28.0	21.88	78.12	14	50	23.9	19.29	80.71	256	1071
ChristopheAF	Null	16.13	13.89	86.11	10	62	0	0	0	0	0	16.13	13.89	86.11	10	62
ChristopheAF	Single dark	9.46	8.64	91.36	42	444	0.0	0.0	100.0	0	4	9.55	8.71	91.29	42	440
ChristopheAF	Double dark	0.0	0.0	100.0	0	22	0	0	0	0	0	0.0	0.0	100.0	0	22
cockdestroyer	Totals	21.96	18.01	81.99	246	1120	33.01	24.82	75.18	69	209	19.43	16.27	83.73	177	911
cockdestroyer	Easy	28.46	22.16	77.84	187	657	44.44	30.77	69.23	40	90	25.93	20.59	79.41	147	567
cockdestroyer	Null	31.25	23.81	76.19	10	32	36.36	26.67	73.33	4	11	28.57	22.22	77.78	6	21
cockdestroyer	Single dark	11.61	10.4	89.6	49	422	23.15	18.8	81.2	25	108	7.64	7.1	92.9	24	314
cockdestroyer	Double dark	0.0	0.0	100.0	0	9	0	0	0	0	0	0.0	0.0	100.0	0	9
colton	Totals	27.36	21.48	78.52	165	603	33.33	25.0	75.0	65	195	24.51	19.69	80.31	100	408
colton	Easy	35.28	26.08	73.92	133	377	37.19	27.11	72.89	45	121	34.38	25.58	74.42	88	256
colton	Null	0.0	0.0	100.0	0	7	0	0	0	0	0	0.0	0.0	100.0	0	7
colton	Single dark	15.08	13.1	86.9	30	199	28.12	21.95	78.05	18	64	8.89	8.16	91.84	12	135
colton	Double dark	10.0	9.09	90.91	2	20	20.0	16.67	83.33	2	10	0.0	0.0	100.0	0	10
corys	Totals	35.12	25.99	74.01	59	168	20.0	16.67	83.33	5	25	37.76	27.41	72.59	54	143
corys	Easy	39.6	28.37	71.63	59	149	20.0	16.67	83.33	5	25	43.55	30.34	69.66	54	124
corys	Null	0.0	0.0	100.0	0	3	0	0	0	0	0	0.0	0.0	100.0	0	3
corys	Single dark	0.0	0.0	100.0	0	16	0	0	0	0	0	0.0	0.0	100.0	0	16
corys	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Totals	51.83	34.14	65.86	85	164	28.57	22.22	77.78	4	14	54.0	35.06	64.94	81	150
Cynas	Easy	54.61	35.32	64.68	83	152	28.57	22.22	77.78	4	14	57.25	36.41	63.59	79	138
Cynas	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Single dark	16.67	14.29	85.71	2	12	0	0	0	0	0	16.67	14.29	85.71	2	12
Cynas	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Totals	27.91	21.82	78.18	60	215	28.57	22.22	77.78	6	21	27.84	21.77	78.23	54	194
Damian000	Easy	30.53	23.39	76.61	58	190	28.57	22.22	77.78	6	21	30.77	23.53	76.47	52	169
Damian000	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Single dark	8.0	7.41	92.59	2	25	0	0	0	0	0	8.0	7.41	92.59	2	25
Damian000	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Totals	19.77	16.51	83.49	87	440	25.22	20.14	79.86	29	115	17.85	15.14	84.86	58	325
DarthGandalf	Easy	25.9	20.57	79.43	79	305	33.75	25.23	74.77	27	80	23.11	18.77	81.23	52	225
DarthGandalf	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Single dark	6.4	6.02	93.98	8	125	7.14	6.67	93.33	2	28	6.19	5.83	94.17	6	97
DarthGandalf	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	7	0.0	0.0	100.0	0	3
Daryl	Totals	29.27	22.64	77.36	60	205	25.0	20.0	80.0	2	8	29.44	22.75	77.25	58	197
Daryl	Easy	34.52	25.66	74.34	58	168	14.29	12.5	87.5	1	7	35.4	26.15	73.85	57	161
Daryl	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daryl	Single dark	5.41	5.13	94.87	2	37	100.0	50.0	50.0	1	1	2.78	2.7	97.3	1	36
Daryl	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Totals	21.18	17.48	82.52	136	642	17.78	15.09	84.91	8	45	21.44	17.66	82.34	128	597
Denchulitas	Easy	27.12	21.34	78.66	115	424	15.79	13.64	86.36	3	19	27.65	21.66	78.34	112	405
Denchulitas	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Single dark	10.1	9.17	90.83	21	208	25.0	20.0	80.0	5	20	8.51	7.84	92.16	16	188
Denchulitas	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	6	0.0	0.0	100.0	0	4
derekcheah	Totals	22.73	18.52	81.48	540	2376	22.98	18.68	81.32	122	531	22.66	18.47	81.53	418	1845
derekcheah	Easy	30.03	23.1	76.9	391	1302	36.33	26.65	73.35	89	245	28.57	22.22	77.78	302	1057
derekcheah	Null	7.5	6.98	93.02	3	40	0	0	0	0	0	7.5	6.98	93.02	3	40
derekcheah	Single dark	14.26	12.48	87.52	146	1024	11.58	10.38	89.62	33	285	15.29	13.26	86.74	113	739
derekcheah	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	9
Div	Totals	18.32	15.48	84.52	109	595	28.57	22.22	77.78	22	77	16.8	14.38	85.62	87	518
Div	Easy	19.75	16.49	83.51	94	476	27.78	21.74	78.26	20	72	18.32	15.48	84.52	74	404
Div	Null	0.0	0.0	100.0	0	2	0	0	0	0	0	0.0	0.0	100.0	0	2
Div	Single dark	12.82	11.36	88.64	15	117	40.0	28.57	71.43	2	5	11.61	10.4	89.6	13	112
Div	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dj.narayanan	Totals	13.47	11.87	88.13	239	1774	11.62	10.41	89.59	138	1188	17.24	14.7	85.3	101	586
dj.narayanan	Easy	20.07	16.71	83.29	178	887	16.67	14.29	85.71	93	558	25.84	20.53	79.47	85	329
dj.narayanan	Null	9.09	8.33	91.67	5	55	9.09	8.33	91.67	4	44	9.09	8.33	91.67	1	11
dj.narayanan	Single dark	7.03	6.57	93.43	56	797	7.36	6.86	93.14	41	557	6.25	5.88	94.12	15	240
dj.narayanan	Double dark	0.0	0.0	100.0	0	35	0.0	0.0	100.0	0	29	0.0	0.0	100.0	0	6
dmigor3	Totals	38.1	27.59	72.41	128	336	42.27	29.71	70.29	82	194	32.39	24.47	75.53	46	142
dmigor3	Easy	41.11	29.14	70.86	118	287	42.08	29.62	70.38	77	183	39.42	28.28	71.72	41	104
dmigor3	Null	31.25	23.81	76.19	5	16	100.0	50.0	50.0	2	2	21.43	17.65	82.35	3	14
dmigor3	Single dark	15.15	13.16	86.84	5	33	33.33	25.0	75.0	3	9	8.33	7.69	92.31	2	24
dmigor3	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dobi	Totals	21.85	17.93	82.07	284	1300	18.08	15.31	84.69	32	177	22.44	18.33	81.67	252	1123
dobi	Easy	33.82	25.27	74.73	184	544	39.47	28.3	71.7	15	38	33.4	25.04	74.96	169	506
dobi	Null	20.45	16.98	83.02	9	44	0.0	0.0	100.0	0	1	20.93	17.31	82.69	9	43
dobi	Single dark	12.77	11.32	88.68	90	705	12.32	10.97	89.03	17	138	12.87	11.41	88.59	73	567
dobi	Double dark	14.29	12.5	87.5	1	7	0	0	0	0	0	14.29	12.5	87.5	1	7
Dr_Kakashi	Totals	15.77	13.62	86.38	1320	8369	12.17	10.85	89.15	473	3887	18.9	15.89	84.11	847	4482
Dr_Kakashi	Easy	23.23	18.85	81.15	1017	4378	21.74	17.86	82.14	352	1619	24.1	19.42	80.58	665	2759
Dr_Kakashi	Null	11.85	10.59	89.41	50	422	10.55	9.54	90.46	27	256	13.86	12.17	87.83	23	166
Dr_Kakashi	Single dark	10.29	9.33	90.67	202	1963	7.62	7.08	92.92	50	656	11.63	10.42	89.58	152	1307
Dr_Kakashi	Double dark	3.18	3.08	96.92	51	1606	3.24	3.14	96.86	44	1356	2.8	2.72	97.28	7	250
duckington	Totals	11.81	10.56	89.44	15	127	0	0	0	0	0	11.81	10.56	89.44	15	127
duckington	Easy	15.94	13.75	86.25	11	69	0	0	0	0	0	15.94	13.75	86.25	11	69
duckington	Null	0.0	0.0	100.0	0	14	0	0	0	0	0	0.0	0.0	100.0	0	14
duckington	Single dark	9.09	8.33	91.67	4	44	0	0	0	0	0	9.09	8.33	91.67	4	44
duckington	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duckless	Totals	15.64	13.52	86.48	33	211	27.78	21.74	78.26	5	18	14.51	12.67	87.33	28	193
duckless	Easy	21.77	17.88	82.12	27	124	40.0	28.57	71.43	4	10	20.18	16.79	83.21	23	114
duckless	Null	11.11	10.0	90.0	1	9	0	0	0	0	0	11.11	10.0	90.0	1	9
duckless	Single dark	7.14	6.67	93.33	5	70	14.29	12.5	87.5	1	7	6.35	5.97	94.03	4	63
duckless	Double dark	0.0	0.0	100.0	0	8	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	7
duckmammal	Totals	17.65	15.0	85.0	99	561	35.14	26.0	74.0	13	37	16.41	14.1	85.9	86	524
duckmammal	Easy	23.23	18.85	81.15	92	396	52.17	34.29	65.71	12	23	21.45	17.66	82.34	80	373
duckmammal	Null	9.09	8.33	91.67	1	11	0.0	0.0	100.0	0	1	10.0	9.09	90.91	1	10
duckmammal	Single dark	4.26	4.08	95.92	6	141	16.67	14.29	85.71	1	6	3.7	3.57	96.43	5	135
duckmammal	Double dark	0.0	0.0	100.0	0	13	0.0	0.0	100.0	0	7	0.0	0.0	100.0	0	6
duckmedic	Totals	18.82	15.84	84.16	54	287	0.0	0.0	100.0	0	2	18.95	15.93	84.07	54	285
duckmedic	Easy	20.08	16.72	83.28	52	259	0.0	0.0	100.0	0	2	20.23	16.83	83.17	52	257
duckmedic	Null	25.0	20.0	80.0	1	4	0	0	0	0	0	25.0	20.0	80.0	1	4
duckmedic	Single dark	4.17	4.0	96.0	1	24	0	0	0	0	0	4.17	4.0	96.0	1	24
duckmedic	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Durandal	Totals	16.05	13.83	86.17	358	2230	16.38	14.08	85.92	349	2130	9.0	8.26	91.74	9	100
Durandal	Easy	32.21	24.36	75.64	287	891	34.71	25.76	74.24	278	801	10.0	9.09	90.91	9	90
Durandal	Null	4.82	4.6	95.4	4	83	4.82	4.6	95.4	4	83	0	0	0	0	0
Durandal	Single dark	5.91	5.58	94.42	67	1133	5.97	5.63	94.37	67	1123	0.0	0.0	100.0	0	10
Durandal	Double dark	0.0	0.0	100.0	0	123	0.0	0.0	100.0	0	123	0	0	0	0	0
eliclax	Totals	20.79	17.21	82.79	84	404	17.33	14.77	85.23	13	75	21.58	17.75	82.25	71	329
eliclax	Easy	26.17	20.74	79.26	78	298	17.39	14.81	85.19	12	69	28.82	22.37	77.63	66	229
eliclax	Null	0.0	0.0	100.0	0	3	0	0	0	0	0	0.0	0.0	100.0	0	3
eliclax	Single dark	5.88	5.56	94.44	6	102	16.67	14.29	85.71	1	6	5.21	4.95	95.05	5	96
eliclax	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
emilyzhao	Totals	24.14	19.44	80.56	273	1131	24.5	19.68	80.32	136	555	23.78	19.21	80.79	137	576
emilyzhao	Easy	30.29	23.25	76.75	199	657	30.04	23.1	76.9	79	263	30.46	23.35	76.65	120	394
emilyzhao	Null	23.53	19.05	80.95	4	17	30.0	23.08	76.92	3	10	14.29	12.5	87.5	1	7
emilyzhao	Single dark	15.32	13.28	86.72	70	457	19.15	16.07	83.93	54	282	9.14	8.38	91.62	16	175
emilyzhao	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FerKeth	Totals	17.21	14.68	85.32	37	215	26.92	21.21	78.79	7	26	15.87	13.7	86.3	30	189
FerKeth	Easy	20.11	16.74	83.26	36	179	31.82	24.14	75.86	7	22	18.47	15.59	84.41	29	157
FerKeth	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FerKeth	Single dark	2.78	2.7	97.3	1	36	0.0	0.0	100.0	0	4	3.12	3.03	96.97	1	32
FerKeth	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fey	Totals	33.27	24.96	75.04	871	2618	34.48	25.64	74.36	320	928	32.6	24.59	75.41	551	1690
Fey	Easy	43.1	30.12	69.88	781	1812	46.92	31.93	68.07	289	616	41.14	29.15	70.85	492	1196
Fey	Null	12.5	11.11	88.89	3	24	5.56	5.26	94.74	1	18	33.33	25.0	75.0	2	6
Fey	Single dark	11.55	10.36	89.64	87	753	10.75	9.71	90.29	30	279	12.03	10.73	89.27	57	474
Fey	Double dark	0.0	0.0	100.0	0	29	0.0	0.0	100.0	0	15	0.0	0.0	100.0	0	14
Fireheart	Totals	18.49	15.6	84.4	1426	7714	16.44	14.12	85.88	724	4404	21.21	17.5	82.5	702	3310
Fireheart	Easy	29.38	22.71	77.29	974	3315	29.1	22.54	77.46	447	1536	29.62	22.85	77.15	527	1779
Fireheart	Null	17.78	15.09	84.91	88	495	21.58	17.75	82.25	52	241	14.17	12.41	87.59	36	254
Fireheart	Single dark	11.86	10.6	89.4	338	2850	12.03	10.74	89.26	199	1654	11.62	10.41	89.59	139	1196
Fireheart	Double dark	2.47	2.41	97.59	26	1054	2.67	2.6	97.4	26	973	0.0	0.0	100.0	0	81
fishcat	Totals	26.39	20.88	79.12	195	739	23.72	19.17	80.83	79	333	28.57	22.22	77.78	116	406
fishcat	Easy	31.09	23.72	76.28	148	476	30.25	23.22	76.78	49	162	31.53	23.97	76.03	99	314
fishcat	Null	25.0	20.0	80.0	3	12	0	0	0	0	0	25.0	20.0	80.0	3	12
fishcat	Single dark	18.11	15.33	84.67	44	243	18.07	15.31	84.69	30	166	18.18	15.38	84.62	14	77
fishcat	Double dark	0.0	0.0	100.0	0	8	0.0	0.0	100.0	0	5	0.0	0.0	100.0	0	3
Floriman	Totals	25.35	20.22	79.78	795	3136	26.43	20.91	79.09	60	227	25.27	20.17	79.83	735	2909
Floriman	Easy	34.25	25.51	74.49	623	1819	40.0	28.57	71.43	48	120	33.84	25.29	74.71	575	1699
Floriman	Null	25.0	20.0	80.0	30	120	5.88	5.56	94.44	2	34	32.56	24.56	75.44	28	86
Floriman	Single dark	12.49	11.1	88.9	137	1097	14.08	12.35	87.65	10	71	12.38	11.01	88.99	127	1026
Floriman	Double dark	5.0	4.76	95.24	5	100	0.0	0.0	100.0	0	2	5.1	4.85	95.15	5	98
florrat2	Totals	5.76	5.45	94.55	1116	19378	5.36	5.09	94.91	379	7074	5.99	5.65	94.35	737	12304
florrat2	Easy	8.3	7.67	92.33	948	11416	6.89	6.45	93.55	334	4847	9.35	8.55	91.45	614	6569
florrat2	Null	10.0	9.09	90.91	3	30	0.0	0.0	100.0	0	1	10.34	9.38	90.62	3	29
florrat2	Single dark	2.1	2.05	97.95	161	7681	1.99	1.95	98.05	44	2216	2.14	2.1	97.9	117	5465
florrat2	Double dark	1.59	1.57	98.43	4	251	10.0	9.09	90.91	1	10	1.24	1.23	98.77	3	241
hakha3	Totals	27.15	21.36	78.64	249	917	28.99	22.48	77.52	69	238	26.51	20.95	79.05	180	679
hakha3	Easy	35.37	26.13	73.87	191	540	32.02	24.26	75.74	57	178	37.02	27.02	72.98	134	362
hakha3	Null	12.82	11.36	88.64	5	39	22.22	18.18	81.82	4	18	4.76	4.55	95.45	1	21
hakha3	Single dark	16.21	13.95	86.05	53	327	19.05	16.0	84.0	8	42	15.79	13.64	86.36	45	285
hakha3	Double dark	0.0	0.0	100.0	0	11	0	0	0	0	0	0.0	0.0	100.0	0	11
HariKrishnan	Totals	31.47	23.94	76.06	62	197	16.67	14.29	85.71	1	6	31.94	24.21	75.79	61	191
HariKrishnan	Easy	36.26	26.61	73.39	62	171	16.67	14.29	85.71	1	6	36.97	26.99	73.01	61	165
HariKrishnan	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HariKrishnan	Single dark	0.0	0.0	100.0	0	26	0	0	0	0	0	0.0	0.0	100.0	0	26
HariKrishnan	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HelanaAshryvr	Totals	18.56	15.65	84.35	655	3529	18.6	15.68	84.32	356	1914	18.51	15.62	84.38	299	1615
HelanaAshryvr	Easy	29.53	22.8	77.2	517	1751	36.14	26.55	73.45	270	747	24.6	19.74	80.26	247	1004
HelanaAshryvr	Null	14.85	12.93	87.07	30	202	9.76	8.89	91.11	12	123	22.78	18.56	81.44	18	79
HelanaAshryvr	Single dark	7.33	6.83	93.17	108	1474	7.74	7.18	92.82	74	956	6.56	6.16	93.84	34	518
HelanaAshryvr	Double dark	0.0	0.0	100.0	0	102	0.0	0.0	100.0	0	88	0.0	0.0	100.0	0	14
IAMJEFF	Totals	16.72	14.32	85.68	1063	6358	14.69	12.81	87.19	531	3614	19.39	16.24	83.76	532	2744
IAMJEFF	Easy	25.47	20.3	79.7	739	2901	26.44	20.91	79.09	349	1320	24.67	19.79	80.21	390	1581
IAMJEFF	Null	17.89	15.18	84.82	85	475	20.0	16.67	83.33	51	255	15.45	13.39	86.61	34	220
IAMJEFF	Single dark	10.32	9.35	90.65	218	2113	8.87	8.15	91.85	110	1240	12.37	11.01	88.99	108	873
IAMJEFF	Double dark	2.42	2.36	97.64	21	869	2.63	2.56	97.44	21	799	0.0	0.0	100.0	0	70
