Username	Rank	Seek	Hide
Razvogor	-3.33	axe_y (28%), ZeNertox (24%), charlesfire (18%)	micerang (18%), Libster (18%), Zamiel (13%), Kyle (9%)
DMoney	-3.4	none	none
indego	-3.41	Floriman (18%), TheDaniMan (17%), TimeHoodie (15%), dobi (14%), Hoodie (14%)	rz (10%), VerySloppyTwo (9%), Wittvector (9%), ChristopheAF (6%), newduke (5%)
will.i.am	-3.89	MarkusKahlsen (24%), TheDaniMan (16%), joelwool (14%), plus (13%), pianoblook (13%)	scharkbite (9%), Kyle (9%), melwen (8%), swineherd (7%), sephiroth (7%)
cockdestroyer	-4.0	Nitrate2 (16%), sephiroth (15%)	Nitrate (15%), XMIL (11%)
FerKeth	-4.0	HelanaAshryvr (12%)	none
Livia	-4.0	Valetta6789 (27%), IAMJEFF (23%), Dr_Kakashi (21%), asaelr (20%), scharkbite (20%)	Fireheart (19%), Kyle (17%), DMoney (15%), Zamiel (14%), Sucubis (12%)
swineherd	-4.0	TimeHoodie (26%), Hoodie (25%), MarkusKahlsen (24%), asaelr (19%), Kyle (19%)	TheDaniMan (17%), derekcheah (17%), melwen (15%), sephiroth (14%), will.i.am (7%)
inde	-4.0	none	none
lotem	-4.5	none	none
Cory	-5.0	none	none
Andrew_UK	-5.0	none	none
FrozenWinters	-5.0	none	none
