Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
asaelr	Easy	35.91	26.42	73.58	994	2768	35.46	26.18	73.82	222	626	36.04	26.49	73.51	772	2142
asaelr	Null	27.78	21.74	78.26	30	108	25.0	20.0	80.0	5	20	28.41	22.12	77.88	25	88
asaelr	Single dark	13.62	11.98	88.02	215	1579	17.35	14.78	85.22	55	317	12.68	11.25	88.75	160	1262
asaelr	Double dark	2.5	2.44	97.56	2	80	4.35	4.17	95.83	1	23	1.75	1.72	98.28	1	57
Asddsa76	Totals	22.98	18.69	81.31	205	892	10.0	9.09	90.91	2	20	23.28	18.88	81.12	203	872
Asddsa76	Easy	30.36	23.29	76.71	187	616	15.38	13.33	86.67	2	13	30.68	23.48	76.52	185	603
Asddsa76	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asddsa76	Single dark	7.73	7.17	92.83	18	233	0.0	0.0	100.0	0	7	7.96	7.38	92.62	18	226
Asddsa76	Double dark	0.0	0.0	100.0	0	43	0	0	0	0	0	0.0	0.0	100.0	0	43
avanderwalde	Totals	28.07	21.91	78.09	412	1468	35.43	26.16	73.84	62	175	27.07	21.3	78.7	350	1293
avanderwalde	Easy	41.06	29.11	70.89	294	716	34.18	25.47	74.53	27	79	41.92	29.54	70.46	267	637
avanderwalde	Null	54.64	35.33	64.67	53	97	71.43	41.67	58.33	25	35	45.16	31.11	68.89	28	62
avanderwalde	Single dark	10.12	9.19	90.81	65	642	16.39	14.08	85.92	10	61	9.47	8.65	91.35	55	581
avanderwalde	Double dark	0.0	0.0	100.0	0	13	0	0	0	0	0	0.0	0.0	100.0	0	13
BlueNovember	Totals	22.64	18.46	81.54	304	1343	21.09	17.42	82.58	166	787	24.82	19.88	80.12	138	556
BlueNovember	Easy	26.38	20.88	79.12	281	1065	23.5	19.03	80.97	149	634	30.63	23.45	76.55	132	431
BlueNovember	Null	19.61	16.39	83.61	10	51	19.51	16.33	83.67	8	41	20.0	16.67	83.33	2	10
BlueNovember	Single dark	5.83	5.51	94.49	13	223	8.26	7.63	92.37	9	109	3.51	3.39	96.61	4	114
BlueNovember	Double dark	0.0	0.0	100.0	0	4	0.0	0.0	100.0	0	3	0.0	0.0	100.0	0	1
bjnh	Totals	22.99	18.69	81.31	203	883	17.74	15.07	84.93	11	62	23.39	18.95	81.05	192	821
bjnh	Easy	29.59	22.83	77.17	166	561	19.15	16.07	83.93	9	47	30.54	23.4	76.6	157	514
bjnh	Null	20.0	16.67	83.33	1	5	0	0	0	0	0	20.0	16.67	83.33	1	5
bjnh	Single dark	11.39	10.23	89.77	36	316	13.33	11.76	88.24	2	15	11.3	10.15	89.85	34	301
bjnh	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
boba	Totals	24.88	19.92	80.08	305	1226	28.95	22.45	77.55	205	708	19.31	16.18	83.82	100	518
boba	Easy	35.26	26.07	73.93	256	726	45.36	31.2	68.8	166	366	25.0	20.0	80.0	90	360
boba	Null	12.73	11.29	88.71	7	55	11.36	10.2	89.8	5	44	18.18	15.38	84.62	2	11
boba	Single dark	10.07	9.15	90.85	42	417	12.14	10.83	89.17	34	280	5.84	5.52	94.48	8	137
boba	Double dark	0.0	0.0	100.0	0	28	0.0	0.0	100.0	0	18	0.0	0.0	100.0	0	10
Bonja97	Totals	21.07	17.41	82.59	275	1305	28.0	21.88	78.12	7	25	20.94	17.31	82.69	268	1280
Bonja97	Easy	28.74	22.33	77.67	240	835	28.0	21.88	78.12	7	25	28.77	22.34	77.66	233	810
Bonja97	Null	20.0	16.67	83.33	5	25	0	0	0	0	0	20.0	16.67	83.33	5	25
Bonja97	Single dark	6.82	6.38	93.62	30	440	0	0	0	0	0	6.82	6.38	93.62	30	440
Bonja97	Double dark	0.0	0.0	100.0	0	5	0	0	0	0	0	0.0	0.0	100.0	0	5
Bot-Fiora	Totals	20.64	17.11	82.89	77	373	50.0	33.33	66.67	1	2	20.49	17.0	83.0	76	371
Bot-Fiora	Easy	30.59	23.43	76.57	67	219	100.0	50.0	50.0	1	1	30.28	23.24	76.76	66	218
Bot-Fiora	Null	2.94	2.86	97.14	1	34	0.0	0.0	100.0	0	1	3.03	2.94	97.06	1	33
Bot-Fiora	Single dark	7.69	7.14	92.86	9	117	0	0	0	0	0	7.69	7.14	92.86	9	117
Bot-Fiora	Double dark	0.0	0.0	100.0	0	3	0	0	0	0	0	0.0	0.0	100.0	0	3
CaitlinSmith	Totals	13.59	11.97	88.03	126	927	14.71	12.82	87.18	45	306	13.04	11.54	88.46	81	621
CaitlinSmith	Easy	16.9	14.46	85.54	120	710	14.77	12.87	87.13	44	298	18.45	15.57	84.43	76	412
CaitlinSmith	Null	0.0	0.0	100.0	0	2	0	0	0	0	0	0.0	0.0	100.0	0	2
CaitlinSmith	Single dark	2.79	2.71	97.29	6	215	12.5	11.11	88.89	1	8	2.42	2.36	97.64	5	207
CaitlinSmith	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catula	Totals	18.77	15.8	84.2	189	1007	23.33	18.92	81.08	35	150	17.97	15.23	84.77	154	857
catula	Easy	24.13	19.44	80.56	167	692	30.0	23.08	76.92	30	100	23.14	18.79	81.21	137	592
catula	Null	100.0	50.0	50.0	1	1	0	0	0	0	0	100.0	50.0	50.0	1	1
catula	Single dark	6.77	6.34	93.66	21	310	10.0	9.09	90.91	5	50	6.15	5.8	94.2	16	260
catula	Double dark	0.0	0.0	100.0	0	4	0	0	0	0	0	0.0	0.0	100.0	0	4
ChristopheAF	Totals	19.07	16.02	83.98	288	1510	22.0	18.03	81.97	11	50	18.97	15.95	84.05	277	1460
ChristopheAF	Easy	23.32	18.91	81.09	246	1055	23.91	19.3	80.7	11	46	23.29	18.89	81.11	235	1009
ChristopheAF	Null	16.67	14.29	85.71	10	60	0	0	0	0	0	16.67	14.29	85.71	10	60
ChristopheAF	Single dark	8.47	7.8	92.2	32	378	0.0	0.0	100.0	0	4	8.56	7.88	92.12	32	374
ChristopheAF	Double dark	0.0	0.0	100.0	0	17	0	0	0	0	0	0.0	0.0	100.0	0	17
cockdestroyer	Totals	21.46	17.67	82.33	223	1039	33.33	25.0	75.0	58	174	19.08	16.02	83.98	165	865
cockdestroyer	Easy	28.08	21.92	78.08	178	634	46.25	31.62	68.38	37	80	25.45	20.29	79.71	141	554
cockdestroyer	Null	27.59	21.62	78.38	8	29	36.36	26.67	73.33	4	11	22.22	18.18	81.82	4	18
cockdestroyer	Single dark	10.0	9.09	90.91	37	370	20.48	17.0	83.0	17	83	6.97	6.51	93.49	20	287
cockdestroyer	Double dark	0.0	0.0	100.0	0	6	0	0	0	0	0	0.0	0.0	100.0	0	6
colton	Totals	26.95	21.23	78.77	159	590	32.99	24.81	75.19	64	194	23.99	19.35	80.65	95	396
colton	Easy	34.69	25.75	74.25	128	369	36.67	26.83	73.17	44	120	33.73	25.23	74.77	84	249
colton	Null	0.0	0.0	100.0	0	7	0	0	0	0	0	0.0	0.0	100.0	0	7
colton	Single dark	14.8	12.89	87.11	29	196	28.12	21.95	78.05	18	64	8.33	7.69	92.31	11	132
colton	Double dark	11.11	10.0	90.0	2	18	20.0	16.67	83.33	2	10	0.0	0.0	100.0	0	8
corys	Totals	35.66	26.29	73.71	51	143	9.09	8.33	91.67	1	11	37.88	27.47	72.53	50	132
corys	Easy	41.13	29.14	70.86	51	124	9.09	8.33	91.67	1	11	44.25	30.67	69.33	50	113
corys	Null	0.0	0.0	100.0	0	3	0	0	0	0	0	0.0	0.0	100.0	0	3
corys	Single dark	0.0	0.0	100.0	0	16	0	0	0	0	0	0.0	0.0	100.0	0	16
corys	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Totals	51.83	34.14	65.86	85	164	28.57	22.22	77.78	4	14	54.0	35.06	64.94	81	150
Cynas	Easy	54.61	35.32	64.68	83	152	28.57	22.22	77.78	4	14	57.25	36.41	63.59	79	138
Cynas	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cynas	Single dark	16.67	14.29	85.71	2	12	0	0	0	0	0	16.67	14.29	85.71	2	12
Cynas	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Totals	28.57	22.22	77.78	60	210	33.33	25.0	75.0	6	18	28.12	21.95	78.05	54	192
Damian000	Easy	31.35	23.87	76.13	58	185	33.33	25.0	75.0	6	18	31.14	23.74	76.26	52	167
Damian000	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damian000	Single dark	8.0	7.41	92.59	2	25	0	0	0	0	0	8.0	7.41	92.59	2	25
Damian000	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Totals	18.54	15.64	84.36	76	410	24.77	19.85	80.15	27	109	16.28	14.0	86.0	49	301
DarthGandalf	Easy	24.91	19.94	80.06	70	281	33.78	25.25	74.75	25	74	21.74	17.86	82.14	45	207
DarthGandalf	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DarthGandalf	Single dark	5.0	4.76	95.24	6	120	7.14	6.67	93.33	2	28	4.35	4.17	95.83	4	92
DarthGandalf	Double dark	0.0	0.0	100.0	0	9	0.0	0.0	100.0	0	7	0.0	0.0	100.0	0	2
Daryl	Totals	29.56	22.81	77.19	60	203	25.0	20.0	80.0	2	8	29.74	22.92	77.08	58	195
Daryl	Easy	34.94	25.89	74.11	58	166	14.29	12.5	87.5	1	7	35.85	26.39	73.61	57	159
Daryl	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daryl	Single dark	5.41	5.13	94.87	2	37	100.0	50.0	50.0	1	1	2.78	2.7	97.3	1	36
Daryl	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Totals	21.18	17.48	82.52	136	642	17.78	15.09	84.91	8	45	21.44	17.66	82.34	128	597
Denchulitas	Easy	27.12	21.34	78.66	115	424	15.79	13.64	86.36	3	19	27.65	21.66	78.34	112	405
Denchulitas	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denchulitas	Single dark	10.1	9.17	90.83	21	208	25.0	20.0	80.0	5	20	8.51	7.84	92.16	16	188
Denchulitas	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	6	0.0	0.0	100.0	0	4
derekcheah	Totals	22.29	18.23	81.77	517	2319	22.86	18.61	81.39	115	503	22.14	18.12	81.88	402	1816
derekcheah	Easy	29.39	22.72	77.28	378	1286	35.44	26.17	73.83	84	237	28.03	21.89	78.11	294	1049
derekcheah	Null	7.5	6.98	93.02	3	40	0	0	0	0	0	7.5	6.98	93.02	3	40
derekcheah	Single dark	13.84	12.15	87.85	136	983	11.7	10.47	89.53	31	265	14.62	12.76	87.24	105	718
derekcheah	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	9
Div	Totals	18.32	15.48	84.52	109	595	28.57	22.22	77.78	22	77	16.8	14.38	85.62	87	518
Div	Easy	19.75	16.49	83.51	94	476	27.78	21.74	78.26	20	72	18.32	15.48	84.52	74	404
Div	Null	0.0	0.0	100.0	0	2	0	0	0	0	0	0.0	0.0	100.0	0	2
Div	Single dark	12.82	11.36	88.64	15	117	40.0	28.57	71.43	2	5	11.61	10.4	89.6	13	112
Div	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dj.narayanan	Totals	13.49	11.89	88.11	233	1727	11.61	10.4	89.6	135	1163	17.38	14.8	85.2	98	564
dj.narayanan	Easy	20.44	16.97	83.03	175	856	17.13	14.62	85.38	93	543	26.2	20.76	79.24	82	313
dj.narayanan	Null	9.09	8.33	91.67	5	55	9.09	8.33	91.67	4	44	9.09	8.33	91.67	1	11
dj.narayanan	Single dark	6.79	6.35	93.65	53	781	6.95	6.5	93.5	38	547	6.41	6.02	93.98	15	234
dj.narayanan	Double dark	0.0	0.0	100.0	0	35	0.0	0.0	100.0	0	29	0.0	0.0	100.0	0	6
dmigor3	Totals	38.1	27.59	72.41	128	336	42.27	29.71	70.29	82	194	32.39	24.47	75.53	46	142
dmigor3	Easy	41.11	29.14	70.86	118	287	42.08	29.62	70.38	77	183	39.42	28.28	71.72	41	104
dmigor3	Null	31.25	23.81	76.19	5	16	100.0	50.0	50.0	2	2	21.43	17.65	82.35	3	14
dmigor3	Single dark	15.15	13.16	86.84	5	33	33.33	25.0	75.0	3	9	8.33	7.69	92.31	2	24
dmigor3	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dobi	Totals	21.81	17.91	82.09	260	1192	18.54	15.64	84.36	28	151	22.29	18.22	81.78	232	1041
dobi	Easy	33.14	24.89	75.11	168	507	36.67	26.83	73.17	11	30	32.91	24.76	75.24	157	477
dobi	Null	18.92	15.91	84.09	7	37	0.0	0.0	100.0	0	1	19.44	16.28	83.72	7	36
dobi	Single dark	13.1	11.59	88.41	84	641	14.17	12.41	87.59	17	120	12.86	11.39	88.61	67	521
dobi	Double dark	14.29	12.5	87.5	1	7	0	0	0	0	0	14.29	12.5	87.5	1	7
Dr_Kakashi	Totals	15.77	13.62	86.38	1320	8369	12.17	10.85	89.15	473	3887	18.9	15.89	84.11	847	4482
Dr_Kakashi	Easy	23.23	18.85	81.15	1017	4378	21.74	17.86	82.14	352	1619	24.1	19.42	80.58	665	2759
Dr_Kakashi	Null	11.85	10.59	89.41	50	422	10.55	9.54	90.46	27	256	13.86	12.17	87.83	23	166
Dr_Kakashi	Single dark	10.29	9.33	90.67	202	1963	7.62	7.08	92.92	50	656	11.63	10.42	89.58	152	1307
Dr_Kakashi	Double dark	3.18	3.08	96.92	51	1606	3.24	3.14	96.86	44	1356	2.8	2.72	97.28	7	250
duckington	Totals	11.81	10.56	89.44	15	127	0	0	0	0	0	11.81	10.56	89.44	15	127
duckington	Easy	15.94	13.75	86.25	11	69	0	0	0	0	0	15.94	13.75	86.25	11	69
duckington	Null	0.0	0.0	100.0	0	14	0	0	0	0	0	0.0	0.0	100.0	0	14
duckington	Single dark	9.09	8.33	91.67	4	44	0	0	0	0	0	9.09	8.33	91.67	4	44
duckington	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duckless	Totals	15.75	13.61	86.39	23	146	50.0	33.33	66.67	4	8	13.77	12.1	87.9	19	138
duckless	Easy	20.41	16.95	83.05	20	98	66.67	40.0	60.0	4	6	17.39	14.81	85.19	16	92
duckless	Null	0.0	0.0	100.0	0	4	0	0	0	0	0	0.0	0.0	100.0	0	4
duckless	Single dark	7.32	6.82	93.18	3	41	0.0	0.0	100.0	0	1	7.5	6.98	93.02	3	40
duckless	Double dark	0.0	0.0	100.0	0	3	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	2
duckmammal	Totals	17.65	15.0	85.0	99	561	35.14	26.0	74.0	13	37	16.41	14.1	85.9	86	524
duckmammal	Easy	23.23	18.85	81.15	92	396	52.17	34.29	65.71	12	23	21.45	17.66	82.34	80	373
duckmammal	Null	9.09	8.33	91.67	1	11	0.0	0.0	100.0	0	1	10.0	9.09	90.91	1	10
duckmammal	Single dark	4.26	4.08	95.92	6	141	16.67	14.29	85.71	1	6	3.7	3.57	96.43	5	135
duckmammal	Double dark	0.0	0.0	100.0	0	13	0.0	0.0	100.0	0	7	0.0	0.0	100.0	0	6
duckmedic	Totals	18.6	15.68	84.32	53	285	0.0	0.0	100.0	0	2	18.73	15.77	84.23	53	283
duckmedic	Easy	19.84	16.56	83.44	51	257	0.0	0.0	100.0	0	2	20.0	16.67	83.33	51	255
duckmedic	Null	25.0	20.0	80.0	1	4	0	0	0	0	0	25.0	20.0	80.0	1	4
duckmedic	Single dark	4.17	4.0	96.0	1	24	0	0	0	0	0	4.17	4.0	96.0	1	24
duckmedic	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Durandal	Totals	16.18	13.92	86.08	314	1941	16.59	14.23	85.77	306	1844	8.25	7.62	92.38	8	97
Durandal	Easy	31.29	23.83	76.17	250	799	33.99	25.37	74.63	242	712	9.2	8.42	91.58	8	87
Durandal	Null	4.82	4.6	95.4	4	83	4.82	4.6	95.4	4	83	0	0	0	0	0
Durandal	Single dark	6.28	5.91	94.09	60	956	6.34	5.96	94.04	60	946	0.0	0.0	100.0	0	10
Durandal	Double dark	0.0	0.0	100.0	0	103	0.0	0.0	100.0	0	103	0	0	0	0	0
eliclax	Totals	20.79	17.21	82.79	84	404	17.33	14.77	85.23	13	75	21.58	17.75	82.25	71	329
eliclax	Easy	26.17	20.74	79.26	78	298	17.39	14.81	85.19	12	69	28.82	22.37	77.63	66	229
eliclax	Null	0.0	0.0	100.0	0	3	0	0	0	0	0	0.0	0.0	100.0	0	3
eliclax	Single dark	5.88	5.56	94.44	6	102	16.67	14.29	85.71	1	6	5.21	4.95	95.05	5	96
eliclax	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
emilyzhao	Totals	24.14	19.44	80.56	273	1131	24.5	19.68	80.32	136	555	23.78	19.21	80.79	137	576
emilyzhao	Easy	30.29	23.25	76.75	199	657	30.04	23.1	76.9	79	263	30.46	23.35	76.65	120	394
emilyzhao	Null	23.53	19.05	80.95	4	17	30.0	23.08	76.92	3	10	14.29	12.5	87.5	1	7
emilyzhao	Single dark	15.32	13.28	86.72	70	457	19.15	16.07	83.93	54	282	9.14	8.38	91.62	16	175
emilyzhao	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FerKeth	Totals	17.45	14.86	85.14	37	212	26.92	21.21	78.79	7	26	16.13	13.89	86.11	30	186
FerKeth	Easy	20.45	16.98	83.02	36	176	31.82	24.14	75.86	7	22	18.83	15.85	84.15	29	154
FerKeth	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FerKeth	Single dark	2.78	2.7	97.3	1	36	0.0	0.0	100.0	0	4	3.12	3.03	96.97	1	32
FerKeth	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fey	Totals	33.28	24.97	75.03	838	2518	34.7	25.76	74.24	305	879	32.52	24.54	75.46	533	1639
Fey	Easy	42.94	30.04	69.96	751	1749	46.39	31.69	68.31	276	595	41.16	29.16	70.84	475	1154
Fey	Null	12.5	11.11	88.89	3	24	5.56	5.26	94.74	1	18	33.33	25.0	75.0	2	6
Fey	Single dark	11.73	10.5	89.5	84	716	11.16	10.04	89.96	28	251	12.04	10.75	89.25	56	465
Fey	Double dark	0.0	0.0	100.0	0	29	0.0	0.0	100.0	0	15	0.0	0.0	100.0	0	14
Fireheart	Totals	18.49	15.6	84.4	1426	7714	16.44	14.12	85.88	724	4404	21.21	17.5	82.5	702	3310
Fireheart	Easy	29.38	22.71	77.29	974	3315	29.1	22.54	77.46	447	1536	29.62	22.85	77.15	527	1779
Fireheart	Null	17.78	15.09	84.91	88	495	21.58	17.75	82.25	52	241	14.17	12.41	87.59	36	254
Fireheart	Single dark	11.86	10.6	89.4	338	2850	12.03	10.74	89.26	199	1654	11.62	10.41	89.59	139	1196
Fireheart	Double dark	2.47	2.41	97.59	26	1054	2.67	2.6	97.4	26	973	0.0	0.0	100.0	0	81
fishcat	Totals	26.25	20.79	79.21	194	739	23.72	19.17	80.83	79	333	28.33	22.07	77.93	115	406
fishcat	Easy	30.88	23.6	76.4	147	476	30.25	23.22	76.78	49	162	31.21	23.79	76.21	98	314
fishcat	Null	25.0	20.0	80.0	3	12	0	0	0	0	0	25.0	20.0	80.0	3	12
fishcat	Single dark	18.11	15.33	84.67	44	243	18.07	15.31	84.69	30	166	18.18	15.38	84.62	14	77
fishcat	Double dark	0.0	0.0	100.0	0	8	0.0	0.0	100.0	0	5	0.0	0.0	100.0	0	3
Floriman	Totals	25.28	20.18	79.82	784	3101	26.67	21.05	78.95	60	225	25.17	20.11	79.89	724	2876
Floriman	Easy	34.24	25.5	74.5	620	1811	40.0	28.57	71.43	48	120	33.83	25.28	74.72	572	1691
Floriman	Null	25.49	20.31	79.69	26	102	6.25	5.88	94.12	2	32	34.29	25.53	74.47	24	70
Floriman	Single dark	12.22	10.89	89.11	133	1088	14.08	12.35	87.65	10	71	12.09	10.79	89.21	123	1017
Floriman	Double dark	5.0	4.76	95.24	5	100	0.0	0.0	100.0	0	2	5.1	4.85	95.15	5	98
florrat2	Totals	5.76	5.45	94.55	1116	19377	5.36	5.09	94.91	379	7073	5.99	5.65	94.35	737	12304
florrat2	Easy	8.3	7.67	92.33	948	11415	6.89	6.45	93.55	334	4846	9.35	8.55	91.45	614	6569
florrat2	Null	10.0	9.09	90.91	3	30	0.0	0.0	100.0	0	1	10.34	9.38	90.62	3	29
florrat2	Single dark	2.1	2.05	97.95	161	7681	1.99	1.95	98.05	44	2216	2.14	2.1	97.9	117	5465
florrat2	Double dark	1.59	1.57	98.43	4	251	10.0	9.09	90.91	1	10	1.24	1.23	98.77	3	241
hakha3	Totals	27.2	21.39	78.61	247	908	29.36	22.7	77.3	69	235	26.45	20.92	79.08	178	673
hakha3	Easy	35.51	26.21	73.79	190	535	32.2	24.36	75.64	57	177	37.15	27.09	72.91	133	358
hakha3	Null	12.82	11.36	88.64	5	39	22.22	18.18	81.82	4	18	4.76	4.55	95.45	1	21
hakha3	Single dark	16.1	13.87	86.13	52	323	20.0	16.67	83.33	8	40	15.55	13.46	86.54	44	283
hakha3	Double dark	0.0	0.0	100.0	0	11	0	0	0	0	0	0.0	0.0	100.0	0	11
HariKrishnan	Totals	31.47	23.94	76.06	62	197	16.67	14.29	85.71	1	6	31.94	24.21	75.79	61	191
HariKrishnan	Easy	36.26	26.61	73.39	62	171	16.67	14.29	85.71	1	6	36.97	26.99	73.01	61	165
HariKrishnan	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HariKrishnan	Single dark	0.0	0.0	100.0	0	26	0	0	0	0	0	0.0	0.0	100.0	0	26
HariKrishnan	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HelanaAshryvr	Totals	18.65	15.72	84.28	600	3218	18.98	15.95	84.05	325	1712	18.26	15.44	84.56	275	1506
HelanaAshryvr	Easy	28.99	22.47	77.53	476	1642	35.76	26.34	73.66	246	688	24.11	19.43	80.57	230	954
HelanaAshryvr	Null	13.57	11.95	88.05	27	199	9.84	8.96	91.04	12	122	19.48	16.3	83.7	15	77
HelanaAshryvr	Single dark	7.4	6.89	93.11	97	1311	7.97	7.38	92.62	67	841	6.38	6.0	94.0	30	470
HelanaAshryvr	Double dark	0.0	0.0	100.0	0	66	0.0	0.0	100.0	0	61	0.0	0.0	100.0	0	5
IAMJEFF	Totals	16.72	14.32	85.68	1063	6358	14.69	12.81	87.19	531	3614	19.39	16.24	83.76	532	2744
IAMJEFF	Easy	25.47	20.3	79.7	739	2901	26.44	20.91	79.09	349	1320	24.67	19.79	80.21	390	1581
IAMJEFF	Null	17.89	15.18	84.82	85	475	20.0	16.67	83.33	51	255	15.45	13.39	86.61	34	220
IAMJEFF	Single dark	10.32	9.35	90.65	218	2113	8.87	8.15	91.85	110	1240	12.37	11.01	88.99	108	873
IAMJEFF	Double dark	2.42	2.36	97.64	21	869	2.63	2.56	97.44	21	799	0.0	0.0	100.0	0	70
indego	Totals	11.8	10.55	89.45	532	4510	9.39	8.58	91.42	174	1854	13.48	11.88	88.12	358	2656
