Username	Rank	Seek	Hide
padi	0	scharkbite (22%), Dr_Kakashi (19%)	Kyle (15%)
Pimak	0	none	none
possum	0	none	none
qqqq	0	Zamiel (18%)	none
qwertyelmer	0	Darth_Calculus (30%)	kjin (23%)
rs1	0	none	none
sankala	0	none	none
Smandon	0	none	none
Spieler42	0	none	none
Syrah	0	mugsly (35%)	scepheo (34%)
willwin4sure	0	anser (56%)	vEnhance (42%)
wolfpack	0	none	none
wortel	0	Kakashi (28%)	none
4head	0	none	none
Krepps57	0	none	none
Animex52	-1	catula (14%)	none
Asddsa76	-1	sjdrodge (26%)	Zamiel (20%), scharkbite (19%)
katian	-1	frosty104 (20%), Lel0uch (17%)	Krepps57 (12%), skyblueexo (10%), indego (10%)
ksfortson	-1	torp (25%)	wump (20%), griff77 (15%)
rkass	-1	JerryYang (42%)	avanderwalde (27%), mattnabi (12%)
SpaceAnemone	-1	none	none
griff77	-1	none	none
a_small_emu	-1	none	none
Feich	-1	none	none
Razgovor	-1	none	none
robense	-1	none	none
kjin	-1	none	none
scepheo	-1	none	none
jeff10	-2	TimeHoodie (24%), melwen (17%), Lanvin (15%)	newduke (13%), Lel0uch (11%)
skyblueexo	-2	Krepps57 (13%)	katian (10%)
vEnhance	-2	anser (48%)	willwin4sure (42%)
nukelauncher	-2	none	none
Pantheia	-2	none	none
ATrueZen	-2	none	none
Feich59	-2	none	none
Onen	-2	none	none
forgotmyacct	-2	none	none
doeo	-2	none	none
JackFrost	-2	none	none
duckmedic	-3	wump (12%)	none
IsabeltheCat	-3	Lanvin (19%)	newduke (6%), 4head (6%)
Sucubis	-3	Fey (36%), TimeHoodie (27%), Dr_Kakashi (26%), scharkbite (26%), micerang (25%)	Zamiel (22%), nitawa (22%), Fireheart (16%), Livia (12%), catula (9%)
Wittvector	-3	rz (26%), jack67889 (21%), TimeHoodie (20%), Hoodie (20%), MangoPie (19%)	melwen (13%), newduke (13%), Lanvin (12%), ChristopheAF (12%), indego (9%)
Huxley	-3	none	none
joelwool	-3	none	none
DrDrej	-3	none	none
cockdestroyer	-4	Nitrate2 (16%), sephiroth (15%)	Nitrate (15%), XMIL (11%)
FerKeth	-4	HelanaAshryvr (12%)	none
Livia	-4	Valetta6789 (27%), IAMJEFF (23%), Dr_Kakashi (21%), asaelr (20%), scharkbite (20%)	Fireheart (19%), Kyle (17%), DMoney (15%), Zamiel (14%), Sucubis (12%)
nitawa	-4	jack67889 (33%), Nitrate (25%), Nitrate2 (25%), Pablo- (25%)	XMIL (22%), Sucubis (22%), antitelharsic (20%)
swineherd	-4	TimeHoodie (26%), Hoodie (25%), MarkusKahlsen (24%), asaelr (19%), Kyle (19%)	TheDaniMan (17%), derekcheah (17%), melwen (15%), sephiroth (14%), will.i.am (7%)
kooolant	-4	none	none
boba	-5	aquarelle (17%), HelanaAshryvr (15%)	Lel0uch (11%)
Lanvin	-5	kevincaseytdk1 (32%), wump (31%), ricardodd (29%), hakha3 (25%), MarkusKahlsen (25%)	ChristopheAF (12%), Onen (11%), sephiroth (11%), indego (10%), newduke (5%)
mattnabi	-5	none	none
Romain672	-5	none	none
Cory	-5	none	none
Andrew_UK	-5	none	none
FrozenWinters	-5	none	none
antitelharsic	-6	whensepoop (24%), Aluap (21%)	Pablo- (20%), nitawa (20%), XMIL (19%)
catula	-6	jack67889 (20%), sephiroth (17%)	Animex52 (14%), Sucubis (9%)
RaKXeR	-6	Fireheart (19%), Dr_Kakashi (19%), Kakashi (18%)	florrat2 (17%), Libster (15%), Zamiel (12%)
VerySloppyTwo	-7	MangoPie (17%), Lanvin (15%), sephiroth (14%)	Lel0uch (13%), indego (9%), ChristopheAF (5%)
kopen	-8	micerang (36%), scharkbite (21%), Dr_Kakashi (18%), IAMJEFF (17%)	Valetta6789 (16%), Fireheart (16%), Zamiel (12%), Kyle (12%), indego (11%)
squirrel1988	-8	bjnh (16%), HelanaAshryvr (15%), Lanvin (14%)	melwen (10%), Lel0uch (9%)
inde	-8	none	none
lotem	-9	none	none
Razvogor	-10	axe_y (28%), ZeNertox (24%), charlesfire (18%)	micerang (18%), Libster (18%), Zamiel (13%), Kyle (9%)
Fireheart	-11	Valetta6789 (28%), asaelr (27%), micerang (24%), Floriman (23%), Kyle (21%)	Sucubis (16%), kopen (16%), Jake_Stiles (10%), Zamiel (9%), DMoney (9%)
melwen	-11	MarkusKahlsen (33%), Pablo- (28%), avanderwalde (27%), Takis (27%), ntinta (26%)	timotree (12%), squirrel1988 (10%), XMIL (8%), will.i.am (8%), newduke (7%)
Jake_Stiles	-14	scharkbite (23%), micerang (22%), Valetta6789 (18%), IAMJEFF (18%)	asaelr (16%), Kyle (14%), Zamiel (13%), Fireheart (10%), DMoney (2%)
pianoblook	-14	piper (36%), kimbifille (32%), fishcat (25%), ADrone (21%), TheDaniMan (21%)	will.i.am (13%), DMoney (13%), sephiroth (12%), Kyle (11%), Zamiel (8%)
XMIL	-14	none	none
Kyle	-21	Pablo- (27%), Valetta6789 (27%), micerang (25%), timotree (24%), Sucubis (24%)	pianoblook (11%), will.i.am (9%), Razvogor (9%), lotem (8%), newduke (7%)
ChristopheAF	-22	Lel0uch (30%), melwen (25%), rz (24%), frosty104 (20%), Hoodie (15%)	Wittvector (12%), newduke (10%), sephiroth (8%), indego (6%), VerySloppyTwo (5%)
sephiroth	-22	Fey (36%), Pablo- (31%), frosty104 (26%), Nitrate2 (25%), Nitrate (24%)	pianoblook (12%), plus (12%), Lanvin (11%), ChristopheAF (8%), will.i.am (7%)
DMoney	-34	none	none
will.i.am	-35	MarkusKahlsen (24%), TheDaniMan (16%), joelwool (14%), plus (13%), pianoblook (13%)	scharkbite (9%), Kyle (9%), melwen (8%), swineherd (7%), sephiroth (7%)
newduke	-50	timotree (19%), dobi (18%), Hoodie (14%), TimeHoodie (13%), jeff10 (13%)	MangoPie (7%), Kyle (7%), IsabeltheCat (6%), indego (5%), Lanvin (5%)
indego	-58	Floriman (18%), TheDaniMan (17%), TimeHoodie (15%), dobi (14%), Hoodie (14%)	rz (10%), VerySloppyTwo (9%), Wittvector (9%), ChristopheAF (6%), newduke (5%)
Zamiel	-66	TimeHoodie (23%), Hoodie (23%), rat (23%), Sucubis (22%), sjdrodge (22%)	Dr_Kakashi (9%), Romain672 (9%), Fireheart (9%), DMoney (9%), pianoblook (8%)
